use_case,window,data_size,algorithm,max_date,min_date,x_train_size,y_train_size,x_test_size,y_test_size,time_train,time_test,Mean absolute error,R2 
W7P25.0,7,25.0,Stacking Regressor,2015/07/31,2015/07/25,1560,1560,391,391,0.26950010005384684,0.004662599880248308,873.6323423911952,0.910578096657895
W7P10.0,7,10.0,Linear Regression,2015/07/31,2015/07/25,624,624,156,156,0.012888900004327297,0.002747099846601486,1075.4415057498775,0.8172962483513808
W7P10.0,7,10.0,Decision Tree Regressor,2015/07/31,2015/07/25,624,624,156,156,0.02181600034236908,0.0024560000747442245,1406.4707264957265,0.7221850108091011
W7P10.0,7,10.0,Lasso,2015/07/31,2015/07/25,624,624,156,156,0.011876400094479322,0.0019775000400841236,1073.4445917713613,0.8183078375348195
W7P10.0,7,10.0,Random Forest Regressor,2015/07/31,2015/07/25,624,624,156,156,0.08456930005922914,0.0025590001605451107,1171.948076923077,0.7836119569520651
W7P10.0,7,10.0,Stacking Regressor,2015/07/31,2015/07/25,624,624,156,156,0.20472540007904172,0.00611369963735342,970.7517200455495,0.8299458306164362
W7P5.0,7,5.0,Linear Regression,2015/07/31,2015/07/25,312,312,78,78,0.008750200271606445,0.0036943000741302967,1149.1261258384604,0.8500346820842708
W7P5.0,7,5.0,Decision Tree Regressor,2015/07/31,2015/07/25,312,312,78,78,0.013261500280350447,0.004360400140285492,1721.089041514042,0.5575389485839344
W7P5.0,7,5.0,Lasso,2015/07/31,2015/07/25,312,312,78,78,0.006972000002861023,0.003257500007748604,1159.8749544141974,0.8478079754304885
W7P5.0,7,5.0,Random Forest Regressor,2015/07/31,2015/07/25,312,312,78,78,0.05033059976994991,0.002734099980443716,1435.4333333333334,0.7731512606257925
W7P5.0,7,5.0,Stacking Regressor,2015/07/31,2015/07/25,312,312,78,78,0.16210730001330376,0.003780100028961897,1137.595276659353,0.8386732278086575
W7P1.0,7,1.0,Linear Regression,2015/07/31,2015/07/25,62,62,16,16,0.006495200097560883,0.00218959990888834,1450.7390377845425,0.18986525532230714
W7P1.0,7,1.0,Decision Tree Regressor,2015/07/31,2015/07/25,62,62,16,16,0.0094671999104321,0.002450099680572748,1919.072767857143,0.4282542180501071
W7P1.0,7,1.0,Lasso,2015/07/31,2015/07/25,62,62,16,16,0.007595299743115902,0.002181299962103367,1434.5235397417675,0.2067866164881651
W7P1.0,7,1.0,Random Forest Regressor,2015/07/31,2015/07/25,62,62,16,16,0.01628639968112111,0.002377900294959545,1444.3937500000002,0.7385014823969713
W7P1.0,7,1.0,Stacking Regressor,2015/07/31,2015/07/25,62,62,16,16,0.10163079993799329,0.002909800037741661,1416.1448494036194,0.2998927206988087
W15P100.0,15,100.0,Linear Regression,2015/07/31,2015/07/17,13380,13380,3345,3345,0.0865879999473691,0.004022200126200914,949.0236035298008,0.8613890756820092
W15P100.0,15,100.0,Decision Tree Regressor,2015/07/31,2015/07/17,13380,13380,3345,3345,0.3684518001973629,0.004280799999833107,989.4886062956315,0.8384832659416166
W15P100.0,15,100.0,Lasso,2015/07/31,2015/07/17,13380,13380,3345,3345,0.08423819998279214,0.004544300027191639,949.3039166235584,0.8612700598215197
W15P100.0,15,100.0,Random Forest Regressor,2015/07/31,2015/07/17,13380,13380,3345,3345,2.4636376001872122,0.011777800042182207,794.4634379671152,0.8996859413658648
W15P100.0,15,100.0,Stacking Regressor,2015/07/31,2015/07/17,13380,13380,3345,3345,2.032218400388956,0.007825099863111973,600.2101982025835,0.9448100382272612
W15P90.0,15,90.0,Linear Regression,2015/07/31,2015/07/17,12041,12041,3011,3011,0.06020240020006895,0.003942700102925301,927.537380948525,0.8641499400941165
W15P90.0,15,90.0,Decision Tree Regressor,2015/07/31,2015/07/17,12041,12041,3011,3011,0.28390559973195195,0.0038765002973377705,999.0694688104393,0.8373488673604343
W15P90.0,15,90.0,Lasso,2015/07/31,2015/07/17,12041,12041,3011,3011,0.06645249994471669,0.011103400029242039,927.7681083333351,0.8640714587987149
W15P90.0,15,90.0,Random Forest Regressor,2015/07/31,2015/07/17,12041,12041,3011,3011,2.4636070001870394,0.01379319978877902,807.1177681833277,0.896996627456868
